Feature,Score,Rank
TOTUSJH_STDDEV,-0.022216966,1
TOTBSQ_MIN,-0.022353021,2
TOTUSJZ_MEAN,-0.022488521,3
TOTPOT_SKEW,-0.022488798,4
TOTUSJH_MEAN,-0.022489075,5
TOTPOT_MAX,-0.022489075,6
TOTPOT_STDDEV,-0.022624021,7
TOTBSQ_MEDIAN,-0.022624298,8
TOTBSQ_SKEW,-0.022624298,9
TOTPOT_MEAN,-0.022624298,10
TOTPOT_MEDIAN,-0.022624298,11
TOTPOT_KURTOSIS,-0.022624575,12
TOTUSJH_MAX,-0.022624575,13
TOTBSQ_MEAN,-0.022624852,14
TOTBSQ_MAX,-0.022624852,15
TOTPOT_MIN,-0.022624852,16
TOTUSJH_MIN,-0.022760353,17
TOTUSJH_SKEW,-0.022760353,18
TOTBSQ_KURTOSIS,-0.022760353,19
TOTUSJH_MEDIAN,-0.02289613,20
TOTUSJH_KURTOSIS,-0.02289613,21
TOTUSJZ_MIN,-0.022896407,22
TOTUSJZ_MEDIAN,-0.022896684,23
TOTBSQ_STDDEV,-0.023167685,24
